"query_name","ts","batch_id","batch_duration","num_input_rows",dataset
"Write IndexTable","1709405533140","2","142111","43642",7
"Write CountTable","1709405669007","1","61005","101573",7
"Write SequenceTable","1709405830911","0","0","0",8
"Update metadata from SequenceTable","1709405831150","0","0","0",8
"Write SingleTable","1709405831758","0","0","0",8
"Write IndexTable","1709405832815","0","0","0",8
"Update metadata from IndexTable","1709405832984","0","0","0",8
"Write CountTable","1709405833650","0","0","0",8
"Write SequenceTable","1709405868865","1","219826","18015",8
"Write SingleTable","1709405870012","1","219339","18771",8
"Update metadata from SequenceTable","1709405868498","1","223083","35708",8
"Update metadata from IndexTable","1709405891408","1","200785","33067",8
"Update metadata from IndexTable","1709406092201","2","24513","134760",8
"Write SequenceTable","1709406088740","2","31232","147806",8
"Write IndexTable","1709405891390","1","228595","33066",8
"Write SingleTable","1709406089358","2","30855","147227",8
"Update metadata from SequenceTable","1709406091583","2","170708","299134",8
"Update metadata from IndexTable","1709406116735","3","145929","16088",8
"Write SequenceTable","1709406119973","3","145995","20160",8
"Write IndexTable","1709406119987","2","149264","152919",8
"Write SingleTable","1709406120215","3","156327","20129",8
"Update metadata from SequenceTable","1709406262385","3","155383","227804",8
"Update metadata from IndexTable","1709406262678","4","155370","97528",8
"Write SequenceTable","1709406265969","4","172855","97617",8
"Write IndexTable","1709406269251","3","169739","99748",8
"Write SingleTable","1709406276545","4","293361","104187",8
"Update metadata from IndexTable","1709406418056","5","158846","103026",8
"Write SequenceTable","1709406438833","5","140917","114531",8
"Update metadata from SequenceTable","1709406417791","4","182114","206044",8
"Write IndexTable","1709406438995","4","162755","112480",8
"Update metadata from IndexTable","1709406576925","6","47174","98755",8
"Write SingleTable","1709406569915","5","183681","188981",8
"Write SequenceTable","1709406579753","6","176158","86683",8
"Write CountTable","1709406269169","1","500930","287587",8
"Update metadata from SequenceTable","1709406599958","5","170803","223874",8
"Update metadata from IndexTable","1709406624123","7","148731","26508",8
"Write SingleTable","1709406753607","6","23815","106020",8
"Write IndexTable","1709406601755","5","175949","98996",8
"Update metadata from IndexTable","1709406772855","8","13607","87836",8
"Update metadata from SequenceTable","1709406770762","6","16126","199868",8
"Write SequenceTable","1709406755913","7","31316","101975",8
"Write SingleTable","1709406777423","7","184981","15229",8
"Update metadata from IndexTable","1709406786463","9","178106","8701",8
"Update metadata from SequenceTable","1709406786889","7","181273","20648",8
"Write IndexTable","1709406777706","6","222675","103505",8
"Write SequenceTable","1709406787230","8","214319","19983",8
"Update metadata from IndexTable","1709406964576","10","37043","117558",8
"Write SingleTable","1709406962413","8","39426","121871",8
"Update metadata from SequenceTable","1709406968174","8","61353","239356",8
"Write SingleTable","1709407001840","9","183037","25535",8
"Write SequenceTable","1709407001559","9","184739","141001",8
"Write CountTable","1709406770118","2","416928","310254",8
"Update metadata from SequenceTable","1709407029538","9","161884","79788",8
